origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude,,,origin,destination,ticket
MEX,CTM,19.4363,-99.0721,18.5047,-88.3268,,,,,
MEX,CTM,19.4363,-99.0721,18.5047,-88.3268,,,,,
CTM,MEX,18.5047,-88.3268,19.4363,-99.0721,,,,,
CTM,MEX,18.5047,-88.3268,19.4363,-99.0721,,,,,
CTM,MEX,18.5047,-88.3268,19.4363,-99.0721,,,,,
CTM,MEX,18.5047,-88.3268,19.4363,-99.0721,,,,,
CTM,MEX,18.5047,-88.3268,19.4363,-99.0721,,,,,
CTM,MEX,18.5047,-88.3268,19.4363,-99.0721,,,,,
MEX,CTM,19.4363,-99.0721,18.5047,-88.3268,,,,,
MEX,CTM,19.4363,-99.0721,18.5047,-88.3268,,,,,
MEX,CTM,19.4363,-99.0721,18.5047,-88.3268,,,,,
MEX,CTM,19.4363,-99.0721,18.5047,-88.3268,,,,,
CTM,MEX,18.5047,-88.3268,19.4363,-99.0721,,,,,
CTM,MEX,18.5047,-88.3268,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
MEX,VER,19.4363,-99.0721,19.1459,-96.1873,,,,,
MEX,VER,19.4363,-99.0721,19.1459,-96.1873,,,,,
MEX,VER,19.4363,-99.0721,19.1459,-96.1873,,,,,
MEX,VER,19.4363,-99.0721,19.1459,-96.1873,,,,,
MEX,VER,19.4363,-99.0721,19.1459,-96.1873,,,,,
MEX,VER,19.4363,-99.0721,19.1459,-96.1873,,,,,
MEX,VER,19.4363,-99.0721,19.1459,-96.1873,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
VER,MEX,19.1459,-96.1873,19.4363,-99.0721,,,,,
MEX,OAX,19.4363,-99.0721,16.9999,-96.7266,,,,,
OAX,MEX,16.9999,-96.7266,19.4363,-99.0721,,,,,
MEX,HUX,19.4363,-99.0721,15.7753,-96.2626,,,,,
MEX,HUX,19.4363,-99.0721,15.7753,-96.2626,,,,,
HUX,MEX,15.7753,-96.2626,19.4363,-99.0721,,,,,
HUX,MEX,15.7753,-96.2626,19.4363,-99.0721,,,,,
MEX,ZIH,19.4363,-99.0721,17.6016,-101.461,,,,,
MEX,ZIH,19.4363,-99.0721,17.6016,-101.461,,,,,
MEX,ZIH,19.4363,-99.0721,17.6016,-101.461,,,,,
MEX,ZIH,19.4363,-99.0721,17.6016,-101.461,,,,,
MEX,ZIH,19.4363,-99.0721,17.6016,-101.461,,,,,
PVR,MEX,20.6801,-105.254,19.4363,-99.0721,,,,,
PVR,MEX,20.6801,-105.254,19.4363,-99.0721,,,,,
PVR,MEX,20.6801,-105.254,19.4363,-99.0721,,,,,
PVR,MEX,20.6801,-105.254,19.4363,-99.0721,,,,,
PVR,MEX,20.6801,-105.254,19.4363,-99.0721,,,,,
PVR,MEX,20.6801,-105.254,19.4363,-99.0721,,,,,
PVR,MEX,20.6801,-105.254,19.4363,-99.0721,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
PVR,MEX,20.6801,-105.254,19.4363,-99.0721,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,HAV,19.4363,-99.0721,22.9892,-82.4091,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,BOG,19.4363,-99.0721,4.70159,-74.1469,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,LAX,19.4363,-99.0721,33.9425,-118.408,,,,,
MEX,LAX,19.4363,-99.0721,33.9425,-118.408,,,,,
MEX,JFK,19.4363,-99.0721,40.6398,-73.7789,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
MEX,TRC,19.4363,-99.0721,25.5683,-103.411,,,,,
MEX,PXM,19.4363,-99.0721,15.8769,-97.0891,,,,,
MEX,PXM,19.4363,-99.0721,15.8769,-97.0891,,,,,
PXM,MEX,15.8769,-97.0891,19.4363,-99.0721,,,,,
PXM,MEX,15.8769,-97.0891,19.4363,-99.0721,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
ACA,MEX,16.7571,-99.754,19.4363,-99.0721,,,,,
MEX,ACA,19.4363,-99.0721,16.7571,-99.754,,,,,
ZIH,MEX,17.6016,-101.461,19.4363,-99.0721,,,,,
ZIH,MEX,17.6016,-101.461,19.4363,-99.0721,,,,,
ZIH,MEX,17.6016,-101.461,19.4363,-99.0721,,,,,
ZIH,MEX,17.6016,-101.461,19.4363,-99.0721,,,,,
ZIH,MEX,17.6016,-101.461,19.4363,-99.0721,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
MEX,PVR,19.4363,-99.0721,20.6801,-105.254,,,,,
MEX,MZT,19.4363,-99.0721,23.1614,-106.266,,,,,
MEX,GUA,19.4363,-99.0721,14.5833,-90.5275,,,,,
TLC,MTY,19.3371,-99.566,25.7785,-100.107,,,,,
MTY,TLC,25.7785,-100.107,19.3371,-99.566,,,,,
AGU,MTY,21.7056,-102.318,25.7785,-100.107,,,,,
AGU,MTY,21.7056,-102.318,25.7785,-100.107,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
MEX,LIM,19.4363,-99.0721,-12.0219,-77.1143,,,,,
CUN,BOG,21.0365,-86.8771,4.70159,-74.1469,,,,,
CUN,BOG,21.0365,-86.8771,4.70159,-74.1469,,,,,
CUN,BOG,21.0365,-86.8771,4.70159,-74.1469,,,,,
CUN,MID,21.0365,-86.8771,20.937,-89.6577,,,,,
MID,VER,20.937,-89.6577,19.1459,-96.1873,,,,,
MID,VER,20.937,-89.6577,19.1459,-96.1873,,,,,
MID,VSA,20.937,-89.6577,17.997,-92.8174,,,,,
VSA,MID,17.997,-92.8174,20.937,-89.6577,,,,,
VSA,MID,17.997,-92.8174,20.937,-89.6577,,,,,
VSA,MID,17.997,-92.8174,20.937,-89.6577,,,,,
VER,MID,19.1459,-96.1873,20.937,-89.6577,,,,,
VER,MID,19.1459,-96.1873,20.937,-89.6577,,,,,
CUN,BZE,21.0365,-86.8771,17.5391,-88.3082,,,,,
CUN,BZE,21.0365,-86.8771,17.5391,-88.3082,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
MEX,MIA,19.4363,-99.0721,25.7932,-80.2906,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
GDL,DFW,20.5218,-103.311,32.8968,-97.038,,,,,
